insee,nom,wikipedia,surf_ha,cx,cy
64485,Saint-Jean-Pied-de-Port,fr:Saint-Jean-Pied-de-Port,275,-1.235191020374322,43.16038402629104
64166,Çaro,fr:Çaro,402,-1.2199796610295794,43.149155530114975
64155,Bustince-Iriberry,fr:Bustince-Iriberry,568,-1.1864203488716618,43.18399506992872
64297,Lacarre,fr:Lacarre,439,-1.1635888488256452,43.18638564580215
64247,Gotein-Libarrenx,fr:Gotein-Libarrenx,1185,-0.8936766231303984,43.191973265757476
64231,Garindein,fr:Garindein,698,-0.9230787504017618,43.21717093208825
64046,Armendarits,fr:Armendarits,1751,-1.167785991317409,43.305303472553405
64362,Luxe-Sumberraute,fr:Luxe-Sumberraute,843,-1.0749410316655337,43.342591815146164
64235,Garris,fr:Garris,313,-1.0593643469179397,43.33792772028867
40248,Saint-André-de-Seignanx,fr:Saint-André-de-Seignanx,1976,-1.3541603027514957,43.564188849291995
40044,Biaudos,fr:Biaudos,1559,-1.312915157076212,43.54750111609455
40042,Biarrotte,fr:Biarrotte,495,-1.2725316986037771,43.55740578270032
40256,Saint-Étienne-d'Orthe,fr:Saint-Étienne-d'Orthe,1111,-1.1861809392157083,43.5910286131729
40224,Peyrehorade,fr:Peyrehorade,1618,-1.1065364949811838,43.5584314256258
40034,Bélus,fr:Bélus (Landes),1190,-1.1168843363237047,43.5922418352239
40077,Cauneille,fr:Cauneille,1534,-1.066180777750862,43.56100319663499
64045,Arhansus,fr:Arhansus,533,-1.0271779624345965,43.25683292915151
64034,Arbérats-Sillègue,fr:Arbérats-Sillègue,532,-0.9914854342991368,43.34136882372306
64531,Tabaille-Usquain,fr:Tabaille-Usquain,438,-0.8878153663125907,43.36225011828913
64242,Gestas,fr:Gestas,219,-0.8870644558554096,43.350832988222955
64071,Athos-Aspis,fr:Athos-Aspis,590,-0.9670803098567557,43.411678024760576
64096,Barraute-Camu,fr:Barraute-Camu,394,-0.8974652067799789,43.3846749243851
64022,Andrein,fr:Andrein,782,-0.8894425942852369,43.400123612416465
64115,Berrogain-Laruns,fr:Berrogain-Laruns,273,-0.8622773844550619,43.250552262126035
64530,Susmiou,fr:Susmiou,353,-0.7791100336942722,43.314230553793415
64281,Jasses,fr:Jasses,543,-0.7337239935903143,43.31280711270235
64466,Rivehaute,fr:Rivehaute,844,-0.8594795122277057,43.34286208751318
64403,Montfort,fr:Montfort (Pyrénées-Atlantiques),863,-0.8500742250883564,43.36503345502598
64033,Araux,fr:Araux,544,-0.8150118983930215,43.34668822079061
64032,Araujuzon,fr:Araujuzon,696,-0.8300595260350578,43.353244994841454
64555,Viellenave-de-Navarrenx,fr:Viellenave-de-Navarrenx,573,-0.80908113573005,43.33517002457634
64287,Laàs,fr:Laàs,651,-0.8541290660358265,43.385863114831594
64414,Narp,fr:Narp,634,-0.8255885234497995,43.38627018541166
64434,Ossenx,fr:Ossenx,403,-0.8098657983145502,43.37503706153207
64474,Saint-Dos,fr:Saint-Dos,185,-1.0249258274881676,43.47246926174511
64082,Auterrive,fr:Auterrive,313,-1.0077583797087395,43.46716056682011
40186,Misson,fr:Misson,1459,-0.944906857088765,43.59939487964356
64286,Laà-Mondrans,fr:Laà-Mondrans,616,-0.7745779260371813,43.4565082355487
64179,Castetner,fr:Castetner,663,-0.7326107843292043,43.44496481000625
64505,Sarpourenx,fr:Sarpourenx,337,-0.7171816422280501,43.4524795718867
64430,Orthez,fr:Orthez,4619,-0.7792455251617187,43.493307933347836
64131,Biron,fr:Biron (Pyrénées-Atlantiques),401,-0.7417094381061027,43.462086472052114
64177,Castétis,fr:Castétis,905,-0.7187241600476562,43.47496873906729
64471,Saint-Boès,fr:Saint-Boès,955,-0.8062699899137186,43.53026331182623
64261,Herrère,fr:Herrère,891,-0.5456113078755934,43.15559010029135
65056,Ayzac-Ost,fr:Ayzac-Ost,311,-0.09238616107047623,43.0218517073969
65291,Lugagnan,fr:Lugagnan,75,-0.03796689529519374,43.06289884784852
65351,Ousté,fr:Ousté,240,-0.016891329412006138,43.04701122319186
65334,Omex,fr:Omex,567,-0.09278422950189759,43.0801641615879
65360,Peyrouse,fr:Peyrouse,478,-0.1117388975268716,43.11030139494571
65040,Aspin-en-Lavedan,fr:Aspin-en-Lavedan,174,-0.047588918113744084,43.07484193920166
65233,Jarret,fr:Jarret (Hautes-Pyrénées),442,-0.016960530509392564,43.074917823174665
65271,Lézignan,fr:Lézignan (Hautes-Pyrénées),260,-0.007052694791490835,43.097106981912745
65366,Poueyferré,fr:Poueyferré,634,-0.0825088960292951,43.11998044465526
65280,Loubajac,fr:Loubajac,655,-0.07884873172991284,43.13954521483135
64197,Cuqueron,fr:Cuqueron,353,-0.5569153714776209,43.31265904971731
64306,Lahourcade,fr:Lahourcade,1097,-0.6322570629778747,43.35007165119538
64410,Mourenx,fr:Mourenx,639,-0.6156750521698283,43.37403479025401
64301,Lagor,fr:Lagor,2101,-0.6677658609612509,43.38205511919311
64003,Abidos,fr:Abidos,315,-0.6291740374383461,43.39730200433859
64418,Noguères,fr:Noguères,200,-0.6013504684611435,43.368443715752676
64443,Pardies,fr:Pardies,590,-0.5860640125285204,43.36523182605933
64442,Parbayse,fr:Parbayse,643,-0.5457686277703128,43.32796125015422
64005,Abos,fr:Abos,852,-0.5617737201114211,43.35874606720128
64535,Tarsacq,fr:Tarsacq,437,-0.5395601834125912,43.359419575434465
64431,Os-Marsillon,fr:Os-Marsillon,544,-0.6105552947031414,43.39301894668347
64061,Artix,fr:Artix (Pyrénées-Atlantiques),909,-0.5741365816054852,43.397620547168486
64117,Bésingrand,fr:Bésingrand,232,-0.5705298237902552,43.37485886468642
64288,Labastide-Cézéracq,fr:Labastide-Cézéracq,501,-0.5440708137936802,43.37868633808738
